,puma,all_crimes13,assault13,child13,drug13,murder13,thieving13
0,3701,4443,427,1,377,2,1506
1,3702,8049,1065,4,494,10,2214
2,3703,4799,448,1,215,4,1567
3,3704,6489,694,0,424,2,1884
4,3705,14581,2080,3,1662,13,3759
5,3706,8707,1082,0,1027,10,2350
6,3707,9652,1495,3,921,10,2428
7,3708,11360,1678,8,1540,8,2490
8,3709,12585,1820,2,1134,9,3460
9,3710,18241,2237,4,2365,11,4317
10,3801,10202,1122,1,510,3,3516
11,3802,9050,1021,2,1052,4,2499
12,3803,11296,1368,0,1041,8,3148
13,3804,12098,1340,4,1380,7,2929
14,3805,6200,337,1,61,0,3500
15,3806,8566,593,2,223,3,4100
16,3807,26658,1768,4,1245,4,15473
17,3808,6725,488,0,83,0,3639
18,3809,10337,1014,0,744,5,3802
19,3810,13830,766,1,453,3,7654
20,3901,4548,343,0,188,1,1227
21,3902,5891,438,0,209,2,1986
22,3903,11419,1409,2,453,4,2895
23,4001,8299,826,0,375,4,3347
24,4002,8995,1219,4,428,11,2962
25,4003,11356,1515,19,836,15,3082
26,4004,11330,989,4,478,9,5076
27,4005,5214,409,0,168,1,2305
28,4006,10929,1366,7,1076,13,3191
29,4007,13810,2055,6,923,20,3048
30,4008,13238,1711,0,1353,11,3641
31,4009,9507,922,12,337,11,3417
32,4010,7999,1072,11,425,11,2174
33,4011,7337,936,1,545,7,2276
34,4012,6120,636,0,388,10,2045
35,4013,4683,364,0,141,0,1647
36,4014,3760,353,0,91,0,1517
37,4015,6558,753,0,319,6,2490
38,4016,5072,460,1,246,1,2078
39,4017,5529,498,0,209,4,1971
40,4018,5967,664,0,470,6,1910
41,4101,8281,1013,24,350,1,2726
42,4102,8836,1252,0,511,5,2512
43,4103,7573,816,2,83,1,3115
44,4104,2878,168,0,27,0,1150
45,4105,7107,817,1,42,3,2065
46,4106,5139,503,7,65,1,1931
47,4107,5115,511,0,142,3,2299
48,4108,3378,202,0,20,0,1770
49,4109,5779,559,3,141,6,2145
50,4110,7069,689,1,227,3,2371
51,4111,6646,767,2,67,7,2087
52,4112,15278,2050,5,310,15,4093
53,4113,5822,610,39,56,7,1888
54,4114,6344,898,2,127,6,1640
