,DBN,SchoolName,SchoolType,Rating
0,M015,P.S. 015 Roberto Clemente,Elementary,3.0
1,M019,P.S. 019 Asher Levy,Elementary,5.0
2,M020,P.S. 020 Anna Silver,Elementary,4.0
3,M034,P.S. 034 Franklin D. Roosevelt,K-8,5.0
4,M063,The STAR Academy - P.S.63,Elementary,3.0
5,M064,P.S. 064 Robert Simon,Elementary,3.0
6,M110,P.S. 110 Florence Nightingale,Elementary,5.0
7,M134,P.S. 134 Henrietta Szold,Elementary,3.0
8,M137,P.S. 137 John L. Bernstein,Elementary,3.0
9,M140,P.S. 140 Nathan Straus,K-8,5.0
10,M142,P.S. 142 Amalia Castro,Elementary,3.0
11,M184,P.S. 184m Shuang Wen,K-8,5.0
12,M188,P.S. 188 The Island School,K-8,4.0
13,M292,Henry Street School for International Studies,Middle,4.0
14,M301,"Technology, Arts, and Sciences Studio",Middle,4.0
15,M315,The East Village Community School,Elementary,5.0
16,M332,University Neighborhood Middle School,Middle,5.0
17,M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",Middle,4.0
18,M361,The Children's Workshop School,Elementary,4.0
19,M363,Neighborhood School,Elementary,3.0
20,M364,Earth School,Elementary,3.0
21,M378,School for Global Leaders,Middle,5.0
22,M450,East Side Community School,Middle,5.0
23,M539,"New Explorations into Science, Technology and Math High School",K-8,5.0
24,M839,Tompkins Square Middle School,Middle,5.0
25,M001,P.S. 001 Alfred E. Smith,Elementary,4.0
26,M002,P.S. 002 Meyer London,Elementary,5.0
27,M003,P.S. 003 Charrette School,Elementary,5.0
28,M006,P.S. 006 Lillie D. Blake,Elementary,5.0
29,M011,P.S. 011 William T. Harris,Elementary,5.0
30,M033,P.S. 033 Chelsea Prep,Elementary,5.0
31,M040,P.S. 040 Augustus Saint-Gaudens,Elementary,5.0
32,M041,P.S. 041 Greenwich Village,Elementary,5.0
33,M042,P.S. 042 Benjamin Altman,Elementary,5.0
34,M051,P.S. 051 Elias Howe,Elementary,5.0
35,M059,P.S. 059 Beekman Hill International,Elementary,5.0
36,M077,P.S. 77 Lower Lab School,Elementary,5.0
37,M089,P.S. 89,Elementary,4.0
38,M104,J.H.S. 104 Simon Baruch,Middle,5.0
39,M111,P.S. 111 Adolph S. Ochs,K-8,4.0
40,M114,East Side Middle School,Middle,5.0
41,M116,P.S. 116 Mary Lindley Murray,Elementary,5.0
42,M124,P.S. 124 Yung Wing,Elementary,5.0
43,M126,P.S. 126 Jacob August Riis,K-8,5.0
44,M130,P.S. 130 Hernando De Soto,Elementary,5.0
45,M131,M.S. 131,Middle,5.0
46,M150,P.S. 150,Elementary,5.0
47,M158,P.S. 158 Bayard Taylor,Elementary,5.0
48,M167,J.H.S. 167 Robert F. Wagner,Middle,5.0
49,M183,P.S. 183 Robert L. Stevenson,Elementary,5.0
50,M198,P.S. 198 Isador E. Ida Straus,Elementary,1.0
51,M212,P.S. 212 Midtown West,Elementary,5.0
52,M217,P.S./I.S. 217 Roosevelt Island,K-8,4.0
53,M225,Ella Baker School,K-8,3.0
54,M234,P.S. 234 Independence School,Elementary,4.0
55,M255,M.S. 255 Salk School of Science,Middle,5.0
56,M260,M.S. 260 Clinton School Writers & Artists,Middle,5.0
57,M276,BATTERY PARK CITY SCHOOL,K-8,5.0
58,M289,I.S. 289,Middle,5.0
59,M290,P.S. 290 Manhattan New School,Elementary,5.0
60,M312,New York City Lab Middle School for Collaborative Studies,Middle,5.0
61,M347,The 47 American Sign Language & English Lower School,K-8,
62,M407,Institute for Collaborative Education,Middle,4.0
63,M408,Professional Performing Arts High School,Middle,3.0
64,M413,School of the Future High School,Middle,5.0
65,M422,Quest to Learn,Middle,4.0
66,M442,"Ballet Tech, NYC Public School for Dance",K-8,4.0
67,M655,Life Sciences Secondary School,Middle,3.0
68,M896,Lower Manhattan Community Middle School,Middle,5.0
69,M009,P.S. 009 Sarah Anderson,Elementary,5.0
70,M054,J.H.S. 054 Booker T. Washington,Middle,4.0
71,M075,P.S. 075 Emily Dickinson,Elementary,4.0
72,M076,P.S. 076 A. Philip Randolph,K-8,4.0
73,M084,P.S. 084 Lillian Weber,Elementary,4.0
74,M087,P.S. 087 William Sherman,Elementary,5.0
75,M145,"P.S. 145, The Bloomingdale School",Elementary,1.0
76,M149,P.S. 149 Sojourner Truth,K-8,4.0
77,M163,P.S. 163 Alfred E. Smith,Elementary,4.0
78,M165,P.S. 165 Robert E. Simon,K-8,5.0
79,M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,Elementary,4.0
80,M180,P.S. 180 Hugo Newman,K-8,4.0
81,M191,P.S. 191 Amsterdam,K-8,3.0
82,M199,P.S. 199 Jessie Isador Straus,Elementary,5.0
83,M208,P.S. 208 Alain L. Locke,Elementary,2.0
84,M241,STEM Institute of Manhattan,Elementary,3.0
85,M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,4.0
86,M243,M.S. 243 Center School,Middle,4.0
87,M245,M.S. M245 The Computer School,Middle,4.0
88,M247,M.S. M247 Dual Language Middle School,Middle,5.0
89,M250,M.S. 250 West Side Collaborative Middle School,Middle,5.0
90,M256,M.S. 256 Academic & Athletic Excellence,Middle,2.0
91,M258,Community Action School - MS 258,Middle,4.0
92,M333,P.S. 333 Manhattan School for Children,K-8,5.0
93,M334,The Anderson School,K-8,5.0
94,M415,Wadleigh Secondary School for the Performing & Visual Arts,Middle,2.0
95,M421,WEST PREP ACADEMY,Middle,4.0
96,M859,Special Music School,K-8,5.0
97,M860,Frederick Douglass Academy II Secondary School,Middle,3.0
98,M862,Mott Hall II,Middle,3.0
99,M007,P.S. 007 Samuel Stern,K-8,5.0
100,M012,Tag Young Scholars,K-8,5.0
101,M013,J.H.S. 013 Jackie Robinson,Middle,
102,M037,River East Elementary,Elementary,4.0
103,M038,P.S. 38 Roberto Clemente,Elementary,3.0
104,M045,M.S. 45/S.T.A.R.S. Prep Academy,Middle,
105,M050,P.S. 050 Vito Marcantonio,K-8,5.0
106,M057,James Weldon Johnson,K-8,4.0
107,M072,The Lexington Academy,Elementary,5.0
108,M083,P.S. 083 Luis Munoz Rivera,Elementary,5.0
109,M096,P.S. 096 Joseph Lanzetta,K-8,3.0
110,M102,P.S. 102 Jacques Cartier,Elementary,3.0
111,M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,K-8,4.0
112,M146,P.S. 146 Ann M. Short,Elementary,5.0
113,M155,P.S. 155 William Paca,Elementary,4.0
114,M171,P.S. 171 Patrick Henry,K-8,5.0
115,M182,The Bilingual Bicultural School,Elementary,4.0
116,M206,P.S. 206 Jose Celso Barbosa,K-8,5.0
117,M224,M.S. 224 Manhattan East School for Arts & Academics,Middle,4.0
118,M372,ESPERANZA PREPARATORY ACADEMY,Middle,3.0
119,M375,Mosaic Preparatory Academy,Elementary,4.0
120,M377,Renaissance School of the Arts,Middle,5.0
121,M381,Global Neighborhood Secondary School,Middle,5.0
122,M406,GLOBAL TECHNOLOGY PREPARATORY,Middle,5.0
123,M497,Central Park East I,Elementary,4.0
124,M610,Young Women's Leadership School,Middle,4.0
125,M825,Isaac Newton Middle School for Math & Science,Middle,3.0
126,M964,Central Park East II,Elementary,5.0
127,M030,P.S. 030 Hernandez/Hughes,Elementary,5.0
128,M036,P.S. 036 Margaret Douglas,Elementary,3.0
129,M046,P.S. 046 Arthur Tappan,K-8,4.0
130,M092,P.S. 092 Mary McLeod Bethune,Elementary,4.0
131,M123,P.S. 123 Mahalia Jackson,K-8,3.0
132,M125,P.S. 125 Ralph Bunche,Elementary,5.0
133,M129,P.S. 129 John H. Finley,K-8,3.0
134,M133,P.S. 133 Fred R Moore,Elementary,2.0
135,M154,P.S. 154 Harriet Tubman,Elementary,4.0
136,M161,P.S. 161 Pedro Albizu Campos,K-8,4.0
137,M175,P.S. 175 Henry H Garnet,Elementary,3.0
138,M194,P.S. 194 Countee Cullen,Elementary,1.0
139,M195,I.S. 195 Roberto Clemente,Middle,
140,M197,P.S. 197 John B. Russwurm,Elementary,3.0
141,M200,P.S. 200- The James Mccune Smith School,Elementary,2.0
142,M286,I.S. M286 Renaissance Leadership Academy,Middle,4.0
143,M302,KAPPA IV,Middle,4.0
144,M318,Thurgood Marshall Academy Lower School,Elementary,5.0
145,M362,Columbia Secondary School,Middle,4.0
146,M367,Academy for Social Action: A College Board School,Middle,
147,M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,Middle,4.0
148,M469,Choir Academy of Harlem,Middle,
149,M499,Frederick Douglass Academy,Middle,1.0
150,M514,New Design Middle School,Middle,3.0
151,M670,Thurgood Marshall Academy for Learning and Social Change,Middle,1.0
152,M004,P.S. 004 Duke Ellington,Elementary,2.0
153,M005,P.S. 005 Ellen Lurie,Elementary,3.0
154,M008,P.S. 008 Luis Belliard,Elementary,4.0
